"arc_length","N","M"
0.182,0.979704,0.143931
0.183,0.979482,0.144733
0.184,0.979259,0.145535
0.185,0.979034,0.146337
0.186,0.978809,0.147139
0.187,0.978582,0.147942
0.188,0.978354,0.148744
0.189,0.978125,0.149547
0.19,0.977895,0.15035
0.191,0.977663,0.151153
0.192,0.97743,0.151957
0.193,0.977196,0.152761
0.194,0.976961,0.153564
0.195,0.976725,0.154368
0.196,0.976488,0.155173
0.197,0.976249,0.155977
0.198,0.976009,0.156782
0.199,0.975768,0.157586
0.2,0.975526,0.158391
0.201,0.975283,0.159197
0.202,0.975038,0.160002
0.203,0.974793,0.160808
0.204,0.974546,0.161613
0.205,0.974298,0.162419
0.206,0.974049,0.163226
0.207,0.973798,0.164032
0.208,0.973547,0.164839
0.209,0.973294,0.165646
0.21,0.97304,0.166453
0.211,0.972785,0.16726
0.212,0.972529,0.168067
0.213,0.972272,0.168875
0.214,0.972014,0.169683
0.215,0.971754,0.170491
0.216,0.971493,0.171299
0.217,0.971231,0.172108
0.218,0.970968,0.172917
0.219,0.970704,0.173726
0.22,0.970438,0.174535
0.221,0.970171,0.175344
0.222,0.969904,0.176154
0.223,0.969635,0.176964
0.224,0.969365,0.177774
0.225,0.969093,0.178584
0.226,0.968821,0.179395
0.227,0.968547,0.180206
0.228,0.968273,0.181017
0.229,0.967997,0.181828
0.23,0.96772,0.182639
0.231,0.967441,0.183451
0.232,0.967162,0.184263
0.233,0.966882,0.185075
0.234,0.9666,0.185888
0.235,0.966317,0.1867
0.236,0.966033,0.187513
0.237,0.965748,0.188326
0.238,0.965462,0.18914
0.239,0.965174,0.189953
0.24,0.964886,0.190767
0.241,0.964596,0.191581
0.242,0.964305,0.192396
0.243,0.964013,0.19321
0.244,0.96372,0.194025
0.245,0.963426,0.19484
0.246,0.96313,0.195656
0.247,0.962834,0.196471
0.248,0.962536,0.197287
0.249,0.962237,0.198103
0.25,0.961937,0.198919
0.251,0.961636,0.199736
0.252,0.961334,0.200553
0.253,0.96103,0.20137
0.254,0.960726,0.202187
0.255,0.96042,0.203005
0.256,0.960113,0.203823
0.257,0.959805,0.204641
0.258,0.959496,0.205459
0.259,0.959186,0.206278
0.26,0.958875,0.207097
0.261,0.958562,0.207916
0.262,0.958249,0.208736
0.263,0.957934,0.209556
0.264,0.957618,0.210376
0.265,0.957301,0.211196
0.266,0.956983,0.212016
0.267,0.956663,0.212837
0.268,0.956343,0.213658
0.269,0.956021,0.21448
0.27,0.955699,0.215301
0.271,0.955375,0.216123
0.272,0.95505,0.216946
0.273,0.954724,0.217768
