"arc_length","N","M"
0.132,0.995623,0.0663007
0.133,0.995557,0.0668074
0.134,0.995489,0.0673142
0.135,0.995421,0.0678211
0.136,0.995353,0.0683281
0.137,0.995284,0.0688352
0.138,0.995215,0.0693424
0.139,0.995145,0.0698497
0.14,0.995074,0.0703571
0.141,0.995003,0.0708646
0.142,0.994932,0.0713723
0.143,0.99486,0.07188
0.144,0.994787,0.0723879
0.145,0.994714,0.0728958
0.146,0.994641,0.0734039
0.147,0.994567,0.0739121
0.148,0.994492,0.0744204
0.149,0.994417,0.0749289
0.15,0.994341,0.0754374
0.151,0.994265,0.0759461
0.152,0.994189,0.0764548
0.153,0.994111,0.0769637
0.154,0.994034,0.0774728
0.155,0.993956,0.0779819
0.156,0.993877,0.0784912
0.157,0.993798,0.0790005
0.158,0.993718,0.07951
0.159,0.993638,0.0800197
0.16,0.993557,0.0805294
0.161,0.993475,0.0810393
0.162,0.993394,0.0815493
0.163,0.993311,0.0820594
0.164,0.993228,0.0825697
0.165,0.993145,0.0830801
0.166,0.993061,0.0835906
0.167,0.992977,0.0841012
0.168,0.992892,0.084612
0.169,0.992806,0.0851229
0.17,0.99272,0.0856339
0.171,0.992634,0.0861451
0.172,0.992547,0.0866564
0.173,0.992459,0.0871679
0.174,0.992371,0.0876794
0.175,0.992282,0.0881912
0.176,0.992193,0.088703
0.177,0.992104,0.089215
0.178,0.992013,0.0897272
0.179,0.991923,0.0902394
0.18,0.991831,0.0907519
0.181,0.99174,0.0912644
0.182,0.991647,0.0917771
0.183,0.991554,0.09229
0.184,0.991461,0.092803
0.185,0.991367,0.0933161
0.186,0.991273,0.0938294
0.187,0.991178,0.0943428
0.188,0.991082,0.0948564
0.189,0.990987,0.0953702
0.19,0.99089,0.095884
0.191,0.990793,0.0963981
0.192,0.990695,0.0969123
0.193,0.990597,0.0974266
0.194,0.990499,0.0979411
0.195,0.9904,0.0984558
0.196,0.9903,0.0989706
0.197,0.9902,0.0994855
0.198,0.990099,0.100001
0.199,0.989998,0.100516
0.2,0.989896,0.101031
0.201,0.989793,0.101547
0.202,0.989691,0.102063
0.203,0.989587,0.102579
0.204,0.989483,0.103095
0.205,0.989379,0.103611
0.206,0.989274,0.104127
0.207,0.989168,0.104644
0.208,0.989062,0.105161
0.209,0.988956,0.105678
0.21,0.988848,0.106195
0.211,0.988741,0.106712
0.212,0.988633,0.107229
0.213,0.988524,0.107747
0.214,0.988415,0.108265
0.215,0.988305,0.108783
0.216,0.988194,0.109301
0.217,0.988083,0.109819
0.218,0.987972,0.110338
0.219,0.98786,0.110856
0.22,0.987748,0.111375
0.221,0.987635,0.111894
0.222,0.987521,0.112413
0.223,0.987407,0.112933
0.224,0.987292,0.113452
0.225,0.987177,0.113972
0.226,0.987061,0.114492
0.227,0.986945,0.115012
0.228,0.986828,0.115532
0.229,0.986711,0.116053
0.23,0.986593,0.116573
0.231,0.986474,0.117094
0.232,0.986355,0.117615
0.233,0.986236,0.118137
0.234,0.986116,0.118658
0.235,0.985995,0.11918
0.236,0.985874,0.119701
0.237,0.985752,0.120223
0.238,0.98563,0.120746
0.239,0.985507,0.121268
0.24,0.985384,0.121791
0.241,0.98526,0.122313
0.242,0.985135,0.122836
0.243,0.98501,0.12336
0.244,0.984885,0.123883
